date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:32	72530/72530	U-----	200	untouched ('')	image/jpeg	etag:%2211b52-4d5d667fa09c0%22	http://archiv.tdh-murgtal.de/aktuelles/2013/02/img/spende_fotoclub.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2013/02/img/spende_fotoclub.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2013/02/index.html)
00:31:32	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/_/images._/pixel.13c8.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/)
00:31:33	15144/15144	U-----	200	untouched ('')	image/jpeg	etag:%223b28-4d5d668cfa940%22	http://archiv.tdh-murgtal.de/aktuelles/2013/02/img/spende_fotoclub_klein.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2013/02/img/spende_fotoclub_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2013/02/index.html)
00:31:33	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/_/images._/pixel.13c9.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/)
00:31:33	86048/86048	U-----	200	untouched ('')	image/jpeg	etag:%2215020-4d1fc94028700%22	http://archiv.tdh-murgtal.de/aktuelles/2012/12/img/spende-hurrle.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2012/12/img/spende-hurrle.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2012/12/index.html)
00:31:33	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/_/images._/pixel.13ca.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/)
00:31:33	16162/16162	U-----	200	untouched ('')	image/jpeg	etag:%223f22-4d1fc94f6ab00%22	http://archiv.tdh-murgtal.de/aktuelles/2012/12/img/spende-hurrle_klein.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2012/12/img/spende-hurrle_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2012/12/index.html)
00:31:33	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/_/images._/pixel.13cb.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/)
00:31:33	63752/63752	U-----	200	untouched ('')	image/jpeg	etag:%22f908-4d087a6983d40%22	http://archiv.tdh-murgtal.de/aktuelles/2012/12/img/grochowiak-2009.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2012/12/img/grochowiak-2009.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2012/12/index.html)
00:31:33	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/_/images._/pixel.13cc.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/)
00:31:33	20648/20648	U-----	200	untouched ('')	image/jpeg	etag:%2250a8-4d087a76ddcc0%22	http://archiv.tdh-murgtal.de/aktuelles/2012/12/img/grochowiak-2009_klein.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2012/12/img/grochowiak-2009_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2012/12/index.html)
00:31:34	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/_/images._/pixel.13cd.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/)
00:31:34	108121/108121	U-----	200	untouched ('')	image/jpeg	etag:%221a659-4d087aa2bc440%22	http://archiv.tdh-murgtal.de/aktuelles/2012/12/img/grochowiak.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2012/12/img/grochowiak.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2012/12/index.html)
00:31:34	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/_/images._/pixel.13ce.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/jazzkonzert/)
