date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:10	5879/5879	U-----	200	untouched ('')	image/jpeg	etag:%2216f7-46126e8e7cec0%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_axa_kolb_klein.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_axa_kolb_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:10	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a2c.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/kuenstler.html)
23:45:10	82614/82614	U-----	200	untouched ('')	image/jpeg	etag:%22142b6-461269d25e300%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_hurrle.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_hurrle.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:11	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a2d.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/kuenstler.html)
23:45:11	7263/7263	U-----	200	untouched ('')	image/jpeg	etag:%221c5f-461269e1a0700%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_hurrle_klein.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_hurrle_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:11	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a2e.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/kuenstler.html)
23:45:11	5782/5782	U-----	200	untouched ('')	image/jpeg	etag:%221696-46126b6c72a80%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/vertriebenenlager_turbo.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/vertriebenenlager_turbo.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:11	0/-1	---M--	301	error ('')			http://www.tdh-murgtal.de/images/erloese92-12.gif	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/images/erloese92-12.a2f.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/kuenstler.html)
23:45:11	124279/124279	U-----	200	untouched ('')	image/jpeg	etag:%221e577-4612687bffb40%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_hla_gernsbach.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_hla_gernsbach.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:11	10337/10337	U-----	200	untouched ('')	image/jpeg	etag:%222861-4612689006a80%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_hla_gernsbach_klein.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_hla_gernsbach_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:11	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a30.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:12	8773/8773	U-----	200	untouched ('')	image/jpeg	etag:%222245-4612635e9aa00%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/simbabwe.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/simbabwe.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:12	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a31.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:12	80891/80891	U-----	200	untouched ('')	image/jpeg	etag:%2213bfb-46126db418b80%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/logo_weltsozialforum_2009.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/logo_weltsozialforum_2009.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:12	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a32.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:12	10157/10157	U-----	200	untouched ('')	image/jpeg	etag:%2227ad-461266987c680%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/deutschland_studie.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/deutschland_studie.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:12	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a33.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:12	11513/11513	U-----	200	untouched ('')	image/jpeg	etag:%222cf9-461264f5d2ac0%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/feuerherz.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/feuerherz.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
